filename,tps,innodb_thread_concurrency,thread_cache_size,max_connections,query_cache_size,sort_buffer_size,join_buffer_size,tmp_table_size,innodb_purge_threads,innodb_read_io_threads,innodb_write_io_threads,optimizer_search_depth,cpu,innodb_buffer_pool_size,key_buffer_size,innodb_io_capacity,innodb_io_capacity_max,sync_binlog,open_files_limit,table_open_cache,readIO,writeIO,IO
history_task16_ddpg.json,52.53066785738232,100,,496,,,99463708,,,,,,16.43152391535565,34162562458,,,,,,,0.0,3.453427419332559,3.453427419332559
history_task16_ga.json,52.53066785738232,65,,271,,,106749027,,,,,,15.723982202345768,19945698201,,,,,,,0.0,3.4876260080420156,3.4876260080420156
history_task16_mbo.json,52.53066785738232,118,,193,,,8581487,,,,,,16.26344827575719,19395787161,,,,,,,0.0,3.4294102822359394,3.4294102822359394
history_task16_smac.json,52.53066785738232,0,,23854,,,1100886,,,,,,16.349388209015817,33189206836,,,,,,,0.0,3.4807459677194794,3.4807459677194794
history_task17_ddpg.json,85549.2274525207,,,,,,,,,,,,85.50781249928737,22620039577,,,,,,,275.1358723935405,368.84430338234296,643.9801757758835
history_task17_ga.json,84217.04589595862,,,,,,,,,,,,90.01088541591652,13702891314,,,,,,,49.230436197506414,497.8911458291842,547.1215820266906
history_task17_mbo.json,109584.71161704432,,,,,,,,,,,,98.49093749917932,20578140876,,,,,,,0.0,326.33574218478054,326.33574218478054
history_task17_smac.json,77047.99770031103,,,,,,,,,,,,97.6965104158526,20615843020,,,,,,,0.0,369.0717122365077,369.0717122365077
history_task18_ddpg.json,75836.94632294861,111,,88479,,,,,,,,,97.4960937491875,30641652327,,,,,,154537,113.48580729072094,308.41204426826323,421.89785155898414
history_task18_ga.json,73905.7085058885,0,,170,,,,,,,,,95.26312499920611,31069429965,,,,,,94097,125.29560546770587,389.2904296842559,514.5860351519618
history_task18_mbo.json,79193.7389658287,480,,888,,,,,,,,,96.92427083252561,30267891303,,,,,,109795,76.51689453061236,299.5894531225034,376.1063476531158
history_task18_smac.json,72804.91405807993,108,,4340,,,,,,,,,97.36354166585535,26997575885,,,,,,5443,169.39742838400502,356.4116536428632,525.8090820268683
history_task19_ddpg.json,20.309617195992804,,,,,,,,,,,,15.323915461525209,,,,,,,,0.0,3.517288306428921,3.517288306428921
history_task19_ga.json,20.309617195992804,,,,,,,,,,,,16.39357758610448,,,,,,,,0.0,3.3588378906040073,3.3588378906040073
history_task19_mbo.json,20.309617195992804,,,,,,,,,,,,15.793637374759097,,,,,,,,0.0,3.4844758064291326,3.4844758064291326
history_task19_smac.json,20.309617195992804,,,,,,,,,,,,15.104655172329894,,,,,,,,0.0,2.9899956597056114,2.9899956597056114
history_task1_ddpg.json,28877.567728776277,0,,175,1048576,,,,,,,,90.67203124924433,27398803251,,,,,1502,172487,257.24912109160624,510.79264322491,768.0417643165163
history_task1_ga.json,28182.00524010985,0,,64376,302236640,,,,,,,,89.41661458258812,29273726976,,,,,132358,156750,238.08281249801598,456.8408528607763,694.9236653587923
history_task1_mbo.json,32930.528707800855,39,,31726,3208779,,,,,,,,95.65114583253616,27526959923,,,,,18106,18194,182.3898763005634,414.0318684861331,596.4217447866965
history_task1_smac.json,27886.106336114102,632,,319,2086267904,,,,,,,,90.07286458258261,27727119155,,,,,20396,151825,229.54052734183716,516.6155924436115,746.1561197854487
